annual_rainfall,max_daily_rainfall,number_of_rainy_days,average_temperature,evaporation,clay,sand,silt,latitude,longitude,elevation,roof_area,open_space,roof_type,infiltration,runoff_coefficient,annual_runoff,feasibility_score,feasibility_classification,recommended_structure
1046.06845,109.1283904,90,24.56478547,5.326748161,58.23310678,25.08215391,16.68473931,22.85256696,76.84309079,1269.357072,65.41872537,24.41782383,tile,5,0.7,47.90272528,0.269249807,Low,Recharge_Borewell
884.1285378,49.08250655,73,25.17248045,3.400600983,24.0754875,43.2696913,32.6548212,34.47600557,88.33539663,652.4371234,174.0471669,42.82324412,tile,49.61549846,0.7,107.716047,0.553610472,Medium,Recharge_Pit
1195.632045,93.65054955,77,22.44985764,3.261862383,59.95880833,13.37420914,26.66698254,19.76218918,87.00744376,938.9649307,86.76905414,21.48480551,metal,5,0.9,93.36947545,0.351315337,Low,Recharge_Borewell
1646.361274,35.71821502,52,23.34340331,5.991171569,36.67645656,47.78506486,15.53847858,24.57827926,72.42991959,44.24651301,143.0449427,45.33112675,metal,41.63371369,0.9,211.9532888,0.65450389,Medium,Recharge_Pit
959.9762256,67.21474234,70,28.53745675,6.072932698,17.98605512,69.70494235,12.30900253,23.91364207,80.40626742,1292.66803,225.3604545,71.1773518,tile,75.63096755,0.7,151.438475,0.762280766,High,Recharge_Trench
408.9402204,53.61744735,62,19.94839239,5.906932849,53.2105378,21.0446876,25.7447746,20.33523755,80.51263921,499.2957624,72.57044585,23.44661888,tile,5,0.7,20.77388189,0.157564058,Low,Recharge_Borewell
710.7610267,53.90288385,111,32.37447725,6.942023461,44.98473089,23.31497445,31.70029466,24.12016816,71.05648145,1257.584596,73.48375331,18.60534119,concrete,7.911153184,0.8,41.78351036,0.216504305,Low,Recharge_Borewell
1340.989766,96.9017606,60,20.44287437,6.494428769,52.11921615,20.5606061,27.32017775,26.64303642,96.19165739,229.6035913,41.19726855,17.23385251,metal,5,0.9,49.72060397,0.285134331,Low,Recharge_Borewell
827.7340349,90.24468813,82,26.96098337,5.65447027,42.14581893,17.10821327,40.7459678,10.75434073,69.94646041,725.2212598,79.71651819,18.58782581,metal,5.153919975,0.9,59.38566773,0.248346841,Low,Recharge_Borewell
791.9074557,62.34814441,96,25.9376168,6.176186584,46.58442122,28.18605662,25.22952216,21.3538572,79.10644712,1484.035908,79.93120405,29.3126959,tile,13.8189692,0.7,44.3086815,0.276424208,Low,Recharge_Borewell
1466.645852,79.36352272,46,30.818028,4.60498063,17.8869899,56.66910657,25.44390354,17.07122969,80.59073836,352.3785671,246.9087084,79.50351099,metal,67.69383058,0.9,325.9148698,0.809780153,High,Recharge_Trench
405.3478917,111.991413,104,29.66059694,6.000092407,37.69401939,35.90474219,26.40123842,29.50531363,95.32747143,1467.011383,116.3409763,39.50558098,tile,25.2069392,0.7,33.01099861,0.283953579,Low,Recharge_Shaft
1574.457321,34.68651656,81,18.41587987,3.268813062,59.13324161,29.09260597,11.77415241,27.20515933,73.94534387,1225.809981,75.50484589,16.68591378,concrete,5,0.8,95.10332591,0.38668616,Low,Recharge_Borewell
1486.978145,92.40607681,47,28.45488497,3.701432335,41.75470598,20.23175525,38.01353878,14.70591463,71.39913497,11.2133797,94.01327873,21.55428467,concrete,15.43287736,0.8,111.8365527,0.447973829,Medium,Recharge_Borewell
1211.040253,65.71991804,93,24.34658222,3.819166539,27.43910575,31.43557581,41.12531844,21.11012129,68.19875765,1499.576584,143.7395892,38.96162513,metal,28.04879441,0.9,156.6669857,0.55071242,Medium,Recharge_Shaft
1731.081791,84.58610028,90,28.69358686,5.47865264,29.95559824,42.55866426,27.4857375,32.5600042,79.75308923,708.9151066,145.787502,47.39453012,metal,40.38838739,0.9,227.1330811,0.665367452,Medium,Recharge_Pit
1472.490687,114.2513014,93,31.43998428,3.003991322,31.14051825,42.38704495,26.4724368,35.80505776,74.12806131,608.9587924,119.7395384,30.58605106,tile,45.06201584,0.7,123.4207487,0.600748027,Medium,Recharge_Pit
1793.590118,30.39365841,61,31.4748303,3.341367832,19.4611947,68.4606048,12.0782005,30.64127101,84.00774788,374.1300006,221.7478234,51.62882683,tile,73.30281232,0.7,278.4072934,0.822596251,High,Recharge_Trench
750.3400574,32.63694988,40,26.5290632,4.885585786,42.8451449,12.48638615,44.66846895,10.03153525,78.61969124,899.7689507,59.96604962,16.914756,concrete,13.57105567,0.8,35.99594329,0.24293717,Low,Recharge_Borewell
661.1259146,118.7912542,96,20.45720495,6.379936659,52.27915305,17.85718886,29.86365809,33.94159798,90.72390714,688.7459622,61.94200685,23.79172498,metal,5,0.9,36.85631933,0.205309995,Low,Recharge_Borewell
